Status,Class,Type,Original Price,Price,Address,Address Lot/Unit,District,List Date,Price Date,Days On Market,City,State,Zip,Picture Count,MLS Number,Contract Date,Closing Date,Hotsheet Date
SOLD,Residential,Single Family,925000,950000,58 Ihea Pl,,Pukalani,5/5/2023,6/23/2023,49,Makawao,HI,96768,50,398799,5/9/2023,6/23/2023,6/23/2023
SOLD,Residential,Single Family,885000,885000,124 Meheu Cir,,Kahului,5/11/2023,5/11/2023,43,Kahului,HI,96732,48,398850,5/16/2023,6/23/2023,6/23/2023
SOLD,Fraction-Partial-Interval,Time Interval,150000,152500,2481 Kaanapali Pkwy,808 B,Kaanapali,5/12/2023,6/23/2023,42,Lahaina,HI,96761,29,398864,5/21/2023,6/23/2023,6/23/2023
SOLD,Condominium,Condo,1200000,1400000,2481 Kaanapali Pkwy,918,Kaanapali,5/16/2023,6/23/2023,38,Lahaina,HI,96761,35,398898,5/17/2023,6/23/2023,6/23/2023
SOLD,Condominium,Condo,949000,900000,4365 Lower Honoapiilani Rd,908,Napili/Kahana/Honokowai,5/23/2023,6/23/2023,31,Lahaina,HI,96761,29,398955,5/25/2023,6/23/2023,6/23/2023
ACTIVE,Vacant Land,Vacant Land,795000,795000,Kula Hwy,,Kula/Ulupalakua/Kanaio,6/24/2023,6/24/2023,353,Kula,HI,96790,8,399216,,,6/24/2023
SOLD,Condominium,Condo,1150000,1170000,2575 S Kihei Rd,T107,Kihei,4/23/2023,6/26/2023,64,Kihei,HI,96753,43,398690,5/3/2023,6/26/2023,6/26/2023
SOLD,Residential,Single Family,600000,600000,206 Kono Pl,,Kahului,5/19/2023,6/26/2023,38,Kahului,HI,96732,1,399230,5/19/2023,6/26/2023,6/26/2023
SOLD,Residential,Single Family,950000,950000,67 S Papa Ave,,Kahului,6/2/2023,6/2/2023,24,Kahului,HI,96732,13,399033,6/2/2023,6/26/2023,6/26/2023
CANCELED,Condominium,Condo,575000,549000,480 Kenolio Rd,10-204,Kihei,4/4/2023,4/15/2023,84,Kihei,HI,96753,14,398544,,,6/27/2023
CANCELED,Condominium,Condo,575000,549000,480 Kenolio Rd,10-204,Kihei,4/4/2023,4/15/2023,84,Kihei,HI,96753,14,398544,,,6/27/2023
SOLD,Residential,SF w/Det Ohana or Cottage,2995000,2200000,535 Kupulau Dr,,Maui Meadows,1/16/2023,6/27/2023,162,Kihei,HI,96753,30,397875,5/8/2023,6/27/2023,6/27/2023
SOLD,Condominium,Condo,2900000,2750000,14 KAINUI Loop,75A,Wailea/Makena,2/10/2023,3/21/2023,137,Kihei,HI,96753,50,398307,3/27/2023,6/27/2023,6/27/2023
SOLD,Residential,Single Family,1595000,1425000,80 Maia Rd,,Hana,3/31/2023,6/27/2023,84,Hana,HI,96713,30,398514,4/25/2023,6/23/2023,6/27/2023
SOLD,Condominium,Condo,3650000,3400000,50 Nohea Kai Dr,4-605,Kaanapali,4/11/2023,6/27/2023,77,Lahaina,HI,96761,33,398592,5/25/2023,6/27/2023,6/27/2023
SOLD,Condominium,Condo,1349900,1274000,2191 S Kihei Rd,3420,Kihei,5/8/2023,6/27/2023,50,Kihei,HI,96753,38,398814,5/13/2023,6/27/2023,6/27/2023
SOLD,Residential,Single Family,4500000,4400000,708 Fairway Dr,,Kapalua,5/15/2023,6/27/2023,43,Lahaina,HI,96761,29,398877,5/18/2023,6/27/2023,6/27/2023
ACTIVE,Vacant Land,Vacant Land,9500000,9500000,400 Kai Huki Cir,Lot 16,Haiku,6/28/2023,6/28/2023,349,Haiku,HI,96708,19,399251,,,6/28/2023
CANCELED,Residential,Single Family,1400000,1400000,65 Hulumanu Pl,Lot 25-A,Kahakuloa,6/23/2023,6/23/2023,3,Wailuku,HI,96793,44,399200,,,6/28/2023
CANCELED,Residential,Single Family,1400000,1400000,65 Hulumanu Pl,Lot 25-A,Kahakuloa,6/23/2023,6/23/2023,3,Wailuku,HI,96793,44,399200,,,6/28/2023
SOLD,Residential,SF w/Det Ohana or Cottage,1050000,900000,51 Kono Pl,,Kahului,3/10/2023,6/28/2023,110,Kahului,HI,96732,1,398338,5/7/2023,6/28/2023,6/28/2023
SOLD,Condominium,Condo,619000,615000,15 KULANIHAKOI St,6D,Kihei,4/5/2023,6/28/2023,84,Kihei,HI,96753,27,398550,4/14/2023,6/28/2023,6/28/2023
SOLD,Residential,Single Family,1120000,801150,1896 Kaahele Pl,,Kihei,4/25/2023,6/28/2023,63,Kihei,HI,96753,1,398730,6/9/2023,6/27/2023,6/28/2023
SOLD,Residential,Single Family,1120000,801150,1896 Kaahele Pl,,Kihei,4/25/2023,6/28/2023,63,Kihei,HI,96753,1,398730,6/9/2023,6/27/2023,6/28/2023
SOLD,Condominium,Condo,499900,499900,480 Kenolio Rd,24-202,Kihei,4/28/2023,4/28/2023,61,Kihei,HI,96753,34,398737,5/4/2023,6/28/2023,6/28/2023
SOLD,Condominium,Condo,749000,749000,2191 S Kihei Rd,3321,Kihei,4/28/2023,4/28/2023,61,Kihei,HI,96753,37,398738,5/23/2023,6/28/2023,6/28/2023
SOLD,Condominium,Condo,695000,700000,660 Wainee St,G205,Lahaina,5/11/2023,6/28/2023,48,Lahaina,HI,96761,23,398849,5/15/2023,6/28/2023,6/28/2023
SOLD,Residential,Single Family,1200000,1170000,189 Anamuli St,,Kahului,5/19/2023,6/28/2023,40,Kahului,HI,96732,47,398914,5/26/2023,6/28/2023,6/28/2023
SOLD,Condominium,Condo,635000,520000,140 UWAPO Rd,13-104,Kihei,3/1/2023,6/29/2023,120,Kihei,HI,96753,12,398250,5/12/2023,6/29/2023,6/29/2023
SOLD,Residential,SF w/Det Ohana or Cottage,1849000,1849000,1041 Lower Kimo Dr,,Kula/Ulupalakua/Kanaio,4/5/2023,6/29/2023,85,Kula,HI,96790,38,398552,5/10/2023,6/29/2023,6/29/2023
SOLD,Condominium,Condo,1999999,1750000,3200 WAILEA ALANUI Dr,2104,Wailea/Makena,4/17/2023,6/29/2023,73,Kihei,HI,96753,31,398641,6/8/2023,6/29/2023,6/29/2023
SOLD,Residential,Single Family,900000,850000,282 Naniloa Dr,,Wailuku,4/21/2023,6/29/2023,69,Wailuku,HI,96793,50,398683,5/18/2023,6/29/2023,6/29/2023
SOLD,Residential,Single Family,969000,969000,77 Kealohilani St,,Kahului,5/9/2023,5/9/2023,51,Kahului,HI,96732,33,398828,5/15/2023,6/29/2023,6/29/2023
SOLD,Condominium,Condo,1299000,1350000,4521 Lower Honoapiilani Rd,2B2,Napili/Kahana/Honokowai,5/31/2023,6/29/2023,29,Lahaina,HI,96761,44,399017,6/9/2023,6/29/2023,6/29/2023
SOLD,Condominium,Condo,1299000,1350000,4521 Lower Honoapiilani Rd,2B2,Napili/Kahana/Honokowai,5/31/2023,6/29/2023,29,Lahaina,HI,96761,44,399017,6/9/2023,6/29/2023,6/29/2023
SOLD,Residential,Single Family,985000,1015000,751 Papua St,,Wailuku,6/13/2023,6/29/2023,16,Wailuku,HI,96793,41,399102,6/15/2023,6/29/2023,6/29/2023
SOLD,Residential,Single Family,985000,1015000,751 Papua St,,Wailuku,6/13/2023,6/29/2023,16,Wailuku,HI,96793,41,399102,6/15/2023,6/29/2023,6/29/2023
SOLD,Residential,Single Family,985000,1015000,751 Papua St,,Wailuku,6/13/2023,6/29/2023,16,Wailuku,HI,96793,41,399102,6/15/2023,6/29/2023,6/29/2023
ACTIVE,Residential,Single Family,6500000,6500000,955 Anapuni Pl,65,Kaanapali,6/30/2023,6/30/2023,347,Lahaina,HI,96761,36,399266,,,6/30/2023
SOLD,Condominium,Condo,1250000,1175000,2777 S Kihei Rd,K108,Kihei,1/10/2023,6/30/2023,171,Kihei,HI,96753,30,397842,4/20/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,925000,889000,19 Meheu Cir,,Kahului,1/18/2023,3/7/2023,163,Kahului,HI,96732,30,397901,3/20/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,705000,626000,127 Punohu Ln,4,Napili/Kahana/Honokowai,1/30/2023,6/30/2023,151,Lahaina,HI,96761-6024,27,398007,5/30/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,705000,626000,127 Punohu Ln,4,Napili/Kahana/Honokowai,1/30/2023,6/30/2023,151,Lahaina,HI,96761-6024,27,398007,5/30/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1750000,1400000,20 HUI RD I,45,Napili/Kahana/Honokowai,2/21/2023,6/30/2023,129,Lahaina,HI,96761,24,398187,4/21/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,1495000,1390000,3804 Lower Honoapiilani Rd,,Napili/Kahana/Honokowai,4/7/2023,6/30/2023,84,Lahaina,HI,96761,24,398571,5/30/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1395000,1395000,1032 S Kihei Rd,118,Kihei,4/8/2023,6/30/2023,83,Kihei,HI,96753,2,399263,4/8/2023,6/30/2023,6/30/2023
